id	display_name	y_coord	r2t_val	match_type	GC_all	p1_ATP6	p2_ATP6	p3_ATP6	p4_ATP8	p5_ATP8	p6_ATP8	p7_COX1	p8_COX1	p9_COX1	p10_COX2	p11_COX2	p12_COX2	p13_COX3	p14_COX3	p15_COX3	p16_CYTB	p17_CYTB	p18_CYTB	p19_ND1	p20_ND1	p21_ND1	p22_ND2	p23_ND2	p24_ND2	p25_ND3	p26_ND3	p27_ND3	p28_ND4L	p29_ND4L	p30_ND4L	p31_ND4	p32_ND4	p33_ND4	p34_ND5	p35_ND5	p36_ND5	p37_ND6	p38_ND6	p39_ND6	p40_rrnl	p41_rrns
NC_082459.1_Dippun	NC 082459.1 Dippun	0	2.2918116836999998	exact_or_mapped	0.3019513332815051	0.36283185840707965	0.37168141592920356	0.20353982300884957	0.21153846153846154	0.3076923076923077	0.21153846153846154	0.455078125	0.408203125	0.201171875	0.3991228070175439	0.34210526315789475	0.20175438596491227	0.4448669201520912	0.3816793893129771	0.1984732824427481	0.3994708994708995	0.34656084656084657	0.22486772486772486	0.2607260726072607	0.3432343234323432	0.33003300330033003	0.29239766081871343	0.34502923976608185	0.25806451612903225	0.3559322033898305	0.3135593220338983	0.2033898305084746	0.1595744680851064	0.30851063829787234	0.2765957446808511	0.34606741573033706	0.31910112359550563	0.17342342342342343	0.3220035778175313	0.21505376344086022	0.34767025089605735	0.2804878048780488	0.2804878048780488	0.1901840490797546	0.2608695652173913	0.27631578947368424
NC_012901.1_Blager	NC 012901.1 Blager	1	1.8700347992	exact_or_mapped	0.25804700224928256	0.3141592920353982	0.37610619469026546	0.13716814159292035	0.1320754716981132	0.33962264150943394	0.16981132075471697	0.4296875	0.408203125	0.10546875	0.3991228070175439	0.33771929824561403	0.10964912280701754	0.40304182509505704	0.37404580152671757	0.10305343511450382	0.3783068783068783	0.35185185185185186	0.10052910052910052	0.08250825082508251	0.3432343234323432	0.30033003300330036	0.24269005847953215	0.34502923976608185	0.187683284457478	0.2966101694915254	0.2966101694915254	0.13559322033898305	0.07446808510638298	0.26595744680851063	0.24468085106382978	0.33183856502242154	0.2556053811659193	0.09213483146067415	0.29695885509839	0.07706093189964158	0.32437275985663083	0.23493975903614459	0.26506024096385544	0.1144578313253012	0.23854069223573432	0.27284595300261094
NC_014274.1_Eupsin	NC 014274.1 Eupsin	2	2.373163657	exact_or_mapped	0.2890704006223259	0.27876106194690264	0.3584070796460177	0.1504424778761062	0.17307692307692307	0.25	0.21153846153846154	0.4296875	0.40234375	0.1640625	0.3392070484581498	0.3392070484581498	0.23008849557522124	0.39543726235741444	0.37404580152671757	0.21755725190839695	0.40476190476190477	0.35809018567639256	0.1724137931034483	0.20666666666666667	0.33	0.3566666666666667	0.29411764705882354	0.35294117647058826	0.23303834808259588	0.3220338983050847	0.358974358974359	0.20512820512820512	0.15217391304347827	0.2608695652173913	0.23655913978494625	0.34080717488789236	0.26905829596412556	0.19550561797752808	0.2898032200357782	0.1971326164874552	0.33691756272401435	0.30246913580246915	0.2654320987654321	0.2037037037037037	0.26933830382106244	0.2777053455019557
NC_039940.1_Perbru	NC 039940.1 Perbru	3	1.8300840055999998	exact_or_mapped	0.25991462941404736	0.3185840707964602	0.36283185840707965	0.10176991150442478	0.1509433962264151	0.18867924528301888	0.18867924528301888	0.4296875	0.4140625	0.109375	0.39473684210526316	0.32894736842105265	0.11842105263157894	0.40304182509505704	0.37786259541984735	0.13740458015267176	0.3994708994708995	0.3544973544973545	0.1402116402116402	0.1353135313531353	0.3432343234323432	0.31683168316831684	0.21929824561403508	0.34210526315789475	0.13196480938416422	0.2966101694915254	0.3644067796610169	0.15254237288135594	0.10638297872340426	0.24468085106382978	0.26595744680851063	0.3438202247191011	0.25617977528089886	0.11711711711711711	0.2826475849731664	0.08960573476702509	0.3225806451612903	0.24096385542168675	0.2469879518072289	0.1144578313253012	0.23854069223573432	0.25098554533508544
NC_037496.1_Crymer	NC 037496.1 Crymer	4	2.2790535937999996	exact_or_mapped	0.26650100947352073	0.35398230088495575	0.37168141592920356	0.16371681415929204	0.16981132075471697	0.2830188679245283	0.3018867924528302	0.44140625	0.4140625	0.16015625	0.39473684210526316	0.34210526315789475	0.21052631578947367	0.39923954372623577	0.37404580152671757	0.15267175572519084	0.36772486772486773	0.3439153439153439	0.14588859416445624	0.1419141914191419	0.33993399339933994	0.3069306930693069	0.2099125364431487	0.31486880466472306	0.14327485380116958	0.2966101694915254	0.3389830508474576	0.1271186440677966	0.10638297872340426	0.2553191489361702	0.2765957446808511	0.3295964125560538	0.273542600896861	0.10786516853932585	0.2772808586762075	0.10931899641577061	0.31362007168458783	0.22289156626506024	0.2891566265060241	0.0783132530120482	0.24953095684803	0.2632978723404255
NC_018120.1_Masdar	NC 018120.1 Masdar	5	2.4863611652	exact_or_mapped	0.32838950147538437	0.3893805309734513	0.34513274336283184	0.23008849557522124	0.2641509433962264	0.24528301886792453	0.3018867924528302	0.447265625	0.41015625	0.2578125	0.4166666666666667	0.3508771929824561	0.2850877192982456	0.44106463878326996	0.40076335877862596	0.2900763358778626	0.42857142857142855	0.35543766578249336	0.35278514588859416	0.264026402640264	0.32673267326732675	0.35313531353135313	0.34110787172011664	0.36257309941520466	0.2807017543859649	0.3644067796610169	0.3559322033898305	0.2033898305084746	0.2553191489361702	0.2765957446808511	0.2978723404255319	0.3542600896860987	0.29596412556053814	0.24943820224719102	0.3220035778175313	0.23297491039426524	0.34229390681003585	0.33540372670807456	0.2919254658385093	0.2360248447204969	0.31127679403541475	0.3228346456692913
NC_015800.1_Copfor	NC 015800.1 Copfor	6	2.7186275854	exact_or_mapped	0.35117839862650224	0.415929203539823	0.36283185840707965	0.2345132743362832	0.16981132075471697	0.3584905660377358	0.3584905660377358	0.474609375	0.419921875	0.291015625	0.47368421052631576	0.3815789473684211	0.2982456140350877	0.4790874524714829	0.42366412213740456	0.3053435114503817	0.47354497354497355	0.38461538461538464	0.27851458885941643	0.28052805280528054	0.3432343234323432	0.35973597359735976	0.36151603498542273	0.37317784256559766	0.3508771929824561	0.3813559322033898	0.3898305084745763	0.2627118644067797	0.2553191489361702	0.30851063829787234	0.3404255319148936	0.38288288288288286	0.35585585585585583	0.2979683972911964	0.34525939177101966	0.27956989247311825	0.35842293906810035	0.3105590062111801	0.30434782608695654	0.2981366459627329	0.30726256983240224	0.349002849002849
NC_009499.1_Retsan	NC 009499.1 Retsan	7	2.7840452728000002	exact_or_mapped	0.35223019338739864	0.3805309734513274	0.3584070796460177	0.2920353982300885	0.24528301886792453	0.3018867924528302	0.3584905660377358	0.462890625	0.41796875	0.322265625	0.4473684210526316	0.37719298245614036	0.3026315789473684	0.467680608365019	0.4312977099236641	0.2748091603053435	0.47745358090185674	0.4005305039787798	0.3395225464190981	0.29042904290429045	0.33663366336633666	0.3564356435643564	0.3673469387755102	0.3819241982507289	0.30701754385964913	0.3474576271186441	0.3728813559322034	0.2457627118644068	0.2553191489361702	0.30851063829787234	0.35106382978723405	0.3834080717488789	0.3721973094170404	0.2606741573033708	0.3488372093023256	0.27956989247311825	0.36379928315412186	0.2857142857142857	0.32298136645962733	0.2732919254658385	0.3240223463687151	0.33804809052333806
MG888455.1_Metspl	MG888455.1 Metspl	8	2.2417844647	exact_or_mapped	0.26813169746855103	0.26991150442477874	0.36283185840707965	0.168141592920354	0.11320754716981132	0.2830188679245283	0.24528301886792453	0.421875	0.408203125	0.162426614481409	0.3815789473684211	0.33771929824561403	0.16228070175438597	0.367816091954023	0.36538461538461536	0.15	0.3439153439153439	0.35278514588859416	0.15119363395225463	0.1353135313531353	0.33003300330033003	0.33993399339933994	0.2785923753665689	0.31085043988269795	0.25	0.3220338983050847	0.3135593220338983	0.211864406779661	0.20212765957446807	0.2553191489361702	0.24468085106382978	0.32286995515695066	0.2757847533632287	0.1303370786516854	0.26475849731663686	0.12544802867383512	0.2921146953405018	0.30303030303030304	0.2909090909090909	0.09090909090909091	0.2479030754892824	0.25984251968503935
KX434871.1_Metspe	KX434871.1 Metspe	9	2.1711514591	exact_or_mapped	0.27055449330783937	0.3008849557522124	0.37610619469026546	0.1504424778761062	0.22641509433962265	0.24528301886792453	0.22641509433962265	0.431640625	0.392578125	0.18199608610567514	0.36403508771929827	0.33771929824561403	0.14035087719298245	0.36398467432950193	0.36153846153846153	0.18076923076923077	0.36243386243386244	0.35978835978835977	0.21957671957671956	0.15181518151815182	0.3201320132013201	0.3069306930693069	0.24633431085043989	0.31378299120234604	0.22647058823529412	0.3220338983050847	0.288135593220339	0.1864406779661017	0.20212765957446807	0.2553191489361702	0.23404255319148937	0.30493273542600896	0.26681614349775784	0.12134831460674157	0.2808586762075134	0.13799283154121864	0.3046594982078853	0.2545454545454545	0.2909090909090909	0.15757575757575756	0.24976700838769805	0.26036866359447003
MK400676.1_Erespe	MK400676.1 Erespe	10	1.9958029923	exact_or_mapped	0.2421583850931677	0.3008849557522124	0.35398230088495575	0.08849557522123894	0.1320754716981132	0.1509433962264151	0.1509433962264151	0.3984375	0.40234375	0.119140625	0.38596491228070173	0.32894736842105265	0.11842105263157894	0.3650190114068441	0.3702290076335878	0.0916030534351145	0.3783068783068783	0.3439153439153439	0.1349206349206349	0.10561056105610561	0.33003300330033003	0.3069306930693069	0.195906432748538	0.31871345029239767	0.13196480938416422	0.2711864406779661	0.3389830508474576	0.1016949152542373	0.06382978723404255	0.26595744680851063	0.26595744680851063	0.30493273542600896	0.2600896860986547	0.08764044943820225	0.25268817204301075	0.10053859964093358	0.2980251346499102	0.21212121212121213	0.23636363636363636	0.13333333333333333	0.20670391061452514	0.22281167108753316
OM910846.1_Carspe	OM910846.1 Carspe	11	3.131652405	exact_or_mapped	0.2651998134038252	0.2831858407079646	0.33185840707964603	0.11061946902654868	0.11320754716981132	0.2830188679245283	0.20754716981132076	0.431640625	0.390625	0.150390625	0.42543859649122806	0.33771929824561403	0.14912280701754385	0.35361216730038025	0.4122137404580153	0.16030534351145037	0.37329700272479566	0.35149863760217986	0.1362397820163488	0.132013201320132	0.30363036303630364	0.32673267326732675	0.28152492668621704	0.3255131964809384	0.187683284457478	0.2627118644067797	0.3728813559322034	0.17796610169491525	0.14893617021276595	0.26595744680851063	0.2553191489361702	0.3076923076923077	0.27601809954751133	0.14285714285714285	0.2701252236135957	0.11827956989247312	0.3154121863799283	0.25903614457831325	0.25903614457831325	0.16265060240963855	0.24860335195530725	0.25096525096525096
KY689130.1_Haaspe	KY689130.1 Haaspe	12	2.6380080836	exact_or_mapped	0.23382510508530455	0.26339285714285715	0.32142857142857145	0.08928571428571429	0.11320754716981132	0.16981132075471697	0.1320754716981132	0.40625	0.380859375	0.07421875	0.34210526315789475	0.3201754385964912	0.06578947368421052	0.3371647509578544	0.36153846153846153	0.13846153846153847	0.3492063492063492	0.31216931216931215	0.11904761904761904	0.08250825082508251	0.3211920529801324	0.3234323432343234	0.20095693779904306	0.2403846153846154	0.10576923076923077	0.2542372881355932	0.288135593220339	0.11016949152542373	0.08695652173913043	0.2391304347826087	0.20430107526881722	0.2905405405405405	0.24549549549549549	0.12162162162162163	0.25089605734767023	0.10053859964093358	0.3105924596050269	0.22289156626506024	0.25903614457831325	0.12048192771084337	0.20670391061452514	0.23653395784543327
KX434845.1_Haavit	KX434845.1 Haavit	13	2.6747262782999996	exact_or_mapped	0.2213991076689957	0.24107142857142858	0.3169642857142857	0.09821428571428571	0.1509433962264151	0.1509433962264151	0.11320754716981132	0.390625	0.3828125	0.07421875	0.33771929824561403	0.3157894736842105	0.09210526315789473	0.30038022813688214	0.3473282442748092	0.061068702290076333	0.31216931216931215	0.31746031746031744	0.0873015873015873	0.0891089108910891	0.31683168316831684	0.2871287128712871	0.12173913043478261	0.23478260869565218	0.06140350877192982	0.2796610169491525	0.3135593220338983	0.11864406779661017	0.1276595744680851	0.23404255319148937	0.22340425531914893	0.3002257336343115	0.24153498871331827	0.07918552036199095	0.22182468694096602	0.05555555555555555	0.2974910394265233	0.21084337349397592	0.2710843373493976	0.08433734939759036	0.18825722273998136	0.25
OM202562.1_Mirspe	OM202562.1 Mirspe	14	2.4387615342	exact_or_mapped	0.25627070515854233	0.3185840707964602	0.34513274336283184	0.14601769911504425	0.11320754716981132	0.32075471698113206	0.09433962264150944	0.4375	0.408203125	0.1171875	0.40350877192982454	0.34210526315789475	0.10526315789473684	0.38022813688212925	0.37786259541984735	0.17557251908396945	0.3862433862433862	0.34656084656084657	0.1349206349206349	0.0891089108910891	0.3201320132013201	0.29372937293729373	0.2565597667638484	0.33527696793002915	0.15204678362573099	0.3050847457627119	0.3135593220338983	0.1271186440677966	0.11702127659574468	0.2553191489361702	0.26595744680851063	0.3235955056179775	0.2757847533632287	0.1101123595505618	0.2737030411449016	0.08960573476702509	0.3046594982078853	0.2634730538922156	0.25748502994011974	0.12574850299401197	0.22786304604486424	0.22395833333333334
KY689126.1_Calspe	KY689126.1 Calspe	15	2.3951676591	exact_or_mapped	0.24323066180463962	0.3008849557522124	0.3230088495575221	0.07079646017699115	0.1320754716981132	0.20754716981132076	0.09433962264150944	0.419921875	0.404296875	0.119140625	0.37280701754385964	0.3333333333333333	0.14473684210526316	0.33840304182509506	0.366412213740458	0.11450381679389313	0.35714285714285715	0.335978835978836	0.1164021164021164	0.08250825082508251	0.32673267326732675	0.30363036303630364	0.239067055393586	0.3206997084548105	0.1695906432748538	0.2627118644067797	0.288135593220339	0.1271186440677966	0.10638297872340426	0.22340425531914893	0.2765957446808511	0.3130630630630631	0.26741573033707866	0.0945945945945946	0.25760286225402507	0.06989247311827956	0.2992831541218638	0.2275449101796407	0.23952095808383234	0.11976047904191617	0.2169459962756052	0.22913907284768212
